_id,blk_no,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,one_room_sold,two_room_sold,three_room_sold,four_room_sold,five_room_sold,exec_sold,multigen_sold,studio_apartment_sold,one_room_rental,two_room_rental,three_room_rental,other_room_rental
7872,485B,TAMPINES AVE 9,12,1988,Y,N,N,Y,N,N,TAP,110,0,0,0,70,40,0,0,0,0,0,0,0
7873,485C,CHOA CHU KANG AVE 5,16,1997,Y,N,N,N,N,N,CCK,60,0,0,0,0,60,0,0,0,0,0,0,0
7874,485D,CHOA CHU KANG AVE 5,16,1998,Y,N,N,N,N,N,CCK,120,0,0,0,75,45,0,0,0,0,0,0,0
7875,486,ADMIRALTY LINK,21,2002,Y,Y,N,N,N,N,SB,141,0,0,0,82,59,0,0,0,0,0,0,0
7876,486,CHOA CHU KANG AVE 5,16,1997,Y,Y,N,Y,N,N,CCK,120,0,0,0,75,45,0,0,0,0,0,0,0
7877,486,JURONG WEST AVE 1,12,1984,Y,Y,N,N,N,N,JW,110,0,0,0,110,0,0,0,0,0,0,0,0
7878,486,PASIR RIS DR 4,12,1991,Y,N,N,Y,N,N,PRC,114,0,0,0,70,44,0,0,0,0,0,0,0
7879,486,SEGAR RD,15,2013,Y,N,N,N,N,N,BP,126,0,0,42,84,0,0,0,0,0,0,0,0
7880,486A,CHOA CHU KANG AVE 5,5,1997,N,N,N,N,Y,N,CCK,0,0,0,0,0,0,0,0,0,0,0,0,0
7881,486A,TAMPINES AVE 9,12,1993,Y,N,N,N,N,N,TAP,88,0,0,0,0,88,0,0,0,0,0,0,0
7882,486B,CHOA CHU KANG AVE 5,1,2001,N,N,N,N,N,Y,CCK,0,0,0,0,0,0,0,0,0,0,0,0,0
7883,486B,TAMPINES AVE 9,12,1993,Y,N,N,N,N,N,TAP,99,0,0,0,55,44,0,0,0,0,0,0,0
7884,486C,TAMPINES AVE 9,12,1993,Y,N,N,N,N,N,TAP,77,0,0,0,55,22,0,0,0,0,0,0,0
7885,487,ADMIRALTY LINK,19,2009,Y,N,N,Y,N,N,SB,114,0,0,0,114,0,0,0,0,0,0,0,0
7886,487,CHOA CHU KANG AVE 5,1,2015,N,N,N,N,N,Y,CCK,0,0,0,0,0,0,0,0,0,0,0,0,0
7887,487,JURONG WEST AVE 1,12,1984,Y,N,N,N,N,N,JW,110,0,0,66,44,0,0,0,0,0,0,0,0
7888,487,PASIR RIS DR 4,13,1991,Y,N,N,Y,N,N,PRC,112,0,0,0,72,40,0,0,0,0,0,0,0
7889,487,SEGAR RD,15,2013,Y,N,N,Y,N,N,BP,98,0,0,42,56,0,0,0,0,0,0,0,0
7890,487A,CHOA CHU KANG AVE 5,15,2015,Y,N,N,N,N,N,CCK,112,0,0,0,28,84,0,0,0,0,0,0,0
7891,487A,SEGAR RD,1,2014,N,N,N,N,N,Y,BP,0,0,0,0,0,0,0,0,0,0,0,0,0
7892,487A,TAMPINES AVE 9,11,1989,Y,Y,N,N,N,N,TAP,70,0,0,0,70,0,0,0,0,0,0,0,0
7893,487B,CHOA CHU KANG AVE 5,15,2015,Y,N,N,N,N,N,CCK,112,0,0,0,84,28,0,0,0,0,0,0,0
7894,487B,TAMPINES ST 45,11,1989,Y,Y,N,N,N,N,TAP,90,0,0,0,90,0,0,0,0,0,0,0,0
7895,487C,CHOA CHU KANG AVE 5,15,2014,Y,N,N,N,N,N,CCK,112,0,0,0,56,56,0,0,0,0,0,0,0
7896,487C,TAMPINES ST 45,11,1989,Y,Y,N,Y,N,N,TAP,80,0,0,0,80,0,0,0,0,0,0,0,0
7897,488,ADMIRALTY LINK,18,2009,Y,N,N,Y,N,N,SB,119,0,0,0,119,0,0,0,0,0,0,0,0
7898,488,CHOA CHU KANG AVE 5,7,2014,N,N,N,N,Y,N,CCK,0,0,0,0,0,0,0,0,0,0,0,0,0
7899,488,JURONG WEST AVE 1,12,1984,Y,Y,N,N,N,N,JW,88,0,0,0,88,0,0,0,0,0,0,0,0
7900,488,SEGAR RD,15,2013,Y,N,N,N,N,N,BP,138,0,115,23,0,0,0,0,0,0,0,0,0
7901,488A,CHOA CHU KANG AVE 5,14,2014,Y,N,N,N,N,N,CCK,104,0,9,0,52,0,0,0,43,0,0,0,0
7902,488A,SEGAR RD,5,2013,N,N,N,N,Y,N,BP,0,0,0,0,0,0,0,0,0,0,0,0,0
7903,488A,TAMPINES AVE 9,12,1989,Y,N,N,N,N,N,TAP,88,0,0,0,48,40,0,0,0,0,0,0,0
7904,488B,CHOA CHU KANG AVE 5,14,2015,Y,N,N,Y,N,N,CCK,117,0,12,0,65,0,0,0,40,0,0,0,0
7905,488B,TAMPINES ST 45,11,1989,Y,Y,N,N,N,N,TAP,80,0,0,0,80,0,0,0,0,0,0,0,0
7906,488C,CHOA CHU KANG AVE 5,13,2015,Y,N,N,Y,N,N,CCK,96,0,0,0,72,24,0,0,0,0,0,0,0
7907,488D,CHOA CHU KANG AVE 5,13,2015,Y,N,N,Y,N,N,CCK,96,0,0,0,24,72,0,0,0,0,0,0,0
7908,489,ADMIRALTY LINK,18,2009,Y,N,N,Y,N,N,SB,119,0,0,0,119,0,0,0,0,0,0,0,0
7909,489,CHOA CHU KANG AVE 5,8,2014,N,N,N,N,Y,N,CCK,0,0,0,0,0,0,0,0,0,0,0,0,0
7910,489,JURONG WEST AVE 1,12,1984,Y,N,N,N,N,N,JW,110,0,0,66,44,0,0,0,0,0,0,0,0
7911,489A,CHOA CHU KANG AVE 5,14,2014,Y,N,N,Y,N,N,CCK,104,0,0,0,52,52,0,0,0,0,0,0,0
7912,489A,TAMPINES ST 45,12,1989,Y,N,N,Y,N,N,TAP,88,0,0,0,48,40,0,0,0,0,0,0,0
7913,489B,CHOA CHU KANG AVE 5,14,2015,Y,N,N,Y,N,N,CCK,104,0,0,0,52,52,0,0,0,0,0,0,0
7914,489B,TAMPINES ST 45,12,1993,Y,N,N,N,N,N,TAP,99,0,0,0,67,32,0,0,0,0,0,0,0
7915,489C,CHOA CHU KANG AVE 5,14,2015,Y,N,N,N,N,N,CCK,91,0,0,0,65,26,0,0,0,0,0,0,0
7916,489C,TAMPINES ST 45,12,1989,Y,N,N,Y,N,N,TAP,110,0,0,0,70,40,0,0,0,0,0,0,0
7917,489D,CHOA CHU KANG AVE 5,14,2015,Y,N,N,N,N,N,CCK,104,0,0,0,52,52,0,0,0,0,0,0,0
7918,49,CIRCUIT RD,10,1964,Y,N,N,N,N,N,GL,118,0,0,116,2,0,0,0,0,0,0,0,0
7919,49,DORSET RD,13,1978,Y,N,N,Y,N,N,KWN,142,0,0,128,12,2,0,0,0,0,0,0,0
7920,49,HOY FATT RD,12,1986,Y,N,N,Y,N,N,BM,88,0,0,0,48,40,0,0,0,0,0,0,0
7921,49,JLN TIGA,19,2003,Y,N,N,Y,N,N,GL,108,0,0,0,108,0,0,0,0,0,0,0,0
7922,49,JLN BAHAGIA,2,1959,Y,N,N,N,N,N,KWN,6,0,0,6,0,0,0,0,0,0,0,0,0
7923,49,KIM PONG RD,4,1949,Y,N,N,N,N,N,BM,24,0,0,24,0,0,0,0,0,0,0,0,0
7924,49,LOR 5 TOA PAYOH,20,1992,Y,N,N,N,N,N,TP,87,0,0,0,0,87,0,0,0,0,0,0,0
7925,49,SIMS PL,1,2006,N,N,Y,N,N,N,GL,0,0,0,0,0,0,0,0,0,0,0,0,0
7926,49,STIRLING RD,7,1961,Y,Y,N,N,N,N,QT,96,0,0,0,0,0,0,0,0,18,66,12,0
7927,49,STRATHMORE AVE,30,2004,Y,N,N,N,N,N,QT,176,0,0,0,147,29,0,0,0,0,0,0,0
7928,49,TANGLIN HALT RD,2,1964,N,Y,N,N,N,N,QT,0,0,0,0,0,0,0,0,0,0,0,0,0
