Month,Value,cpi_lag1,cpi_lag3,cpi_lag6,cpi_lag12,cpi_sma3,cpi_sma6,cpi_sma12,cpi_ema3,cpi_ema6,cpi_ema12
1985-09-01,58.863,59.331,59.263,59.068,58.612,59.15233333333333,59.06249999999999,58.84958333333333,59.045781286061064,59.031149705627826,58.893417450513795
1985-10-01,58.851,58.863,59.331,59.263,58.583,59.01499999999999,59.04916666666666,58.871916666666664,58.948390643030535,58.97967836116273,58.88689168889629
1985-11-01,58.701,58.851,58.863,59.331,58.364,58.80500000000001,59.01283333333333,58.9,58.824695321515264,58.900055972259096,58.85829296752763
1985-12-01,58.739,58.701,58.851,58.863,58.338,58.763666666666666,58.958,58.933416666666666,58.781847660757634,58.854039980185064,58.83994020329261
1986-01-01,58.712,58.739,58.701,58.851,58.6,58.717333333333336,58.866166666666665,58.94275,58.74692383037882,58.81345712870362,58.82025709509375
1986-02-01,58.556,58.712,58.739,58.701,58.891,58.669000000000004,58.737,58.91483333333333,58.65146191518941,58.73989794907401,58.77960215738702
1986-03-01,58.387,58.556,58.712,58.739,59.044,58.55166666666667,58.65766666666667,58.860083333333336,58.5192309575947,58.639069963624294,58.71920182548132
1986-04-01,58.092,58.387,58.556,58.712,58.931,58.345,58.53116666666667,58.790166666666664,58.30561547879735,58.48276425973164,58.62270923694574
1986-05-01,58.048,58.092,58.387,58.556,58.919,58.175666666666665,58.422333333333334,58.71758333333333,58.176807739398676,58.35854589980831,58.534292431261775
1986-06-01,57.962,58.048,58.092,58.387,59.068,58.034,58.292833333333334,58.625416666666666,58.06940386969934,58.24524707129165,58.44624744183689
1986-07-01,57.87,57.962,58.048,58.092,59.263,57.96,58.152499999999996,58.50933333333333,57.96970193484967,58.13803362235117,58.357593989246595
1986-08-01,57.846,57.87,57.962,58.048,59.331,57.89266666666666,58.034166666666664,58.38558333333333,57.907850967424835,58.054595444536545,58.27888722167019
1986-09-01,58.082,57.846,57.87,57.962,58.863,57.93266666666667,57.98333333333333,58.3205,57.99492548371242,58.062425317526106,58.248596879874775
1986-10-01,58.066,58.082,57.846,57.87,58.851,57.998,57.979000000000006,58.25508333333334,58.03046274185621,58.06344665537579,58.22050505220173
1986-11-01,57.886,58.066,58.082,57.846,58.701,58.01133333333333,57.952,58.18716666666666,57.958231370928104,58.012747610982714,58.16904273647839
1986-12-01,57.93,57.886,58.066,58.082,58.739,57.96066666666667,57.946666666666665,58.11975,57.944115685464055,57.989105436416224,58.13226693086633
1987-01-01,58.3,57.93,57.886,58.066,58.712,58.038666666666664,58.01833333333334,58.08541666666667,58.122057842732026,58.07793245458302,58.15807201842536
1987-02-01,57.936,58.3,57.93,57.886,58.556,58.05533333333333,58.03333333333333,58.033750000000005,58.02902892136601,58.037380324702156,58.12390709251377
1987-03-01,57.929,57.936,58.3,57.93,58.387,58.055,58.00783333333334,57.995583333333336,57.979014460683004,58.006414517644394,58.09392138597319
1987-04-01,58.134,57.929,57.936,58.3,58.092,57.99966666666666,58.01916666666667,57.99908333333334,58.0565072303415,58.04286751260314,58.1000873265927
1987-05-01,58.29,58.134,57.929,57.936,58.048,58.11766666666667,58.0865,58.01925,58.17325361517075,58.113476794716526,58.12930466096306
