_id,blk_no,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,one_room_sold,two_room_sold,three_room_sold,four_room_sold,five_room_sold,exec_sold,multigen_sold,studio_apartment_sold,one_room_rental,two_room_rental,three_room_rental,other_room_rental
2891,207,CLEMENTI AVE 6,2,2017,N,N,N,Y,N,N,CL,0,0,0,0,0,0,0,0,0,0,0,0,0
2892,207,COMPASSVALE LANE,1,2003,N,N,N,N,N,Y,SK,0,0,0,0,0,0,0,0,0,0,0,0,0
2893,207,HOUGANG ST 21,2,1982,N,Y,N,N,N,N,HG,0,0,0,0,0,0,0,0,0,0,0,0,0
2894,207,JURONG EAST ST 21,8,1982,Y,N,N,N,N,N,JE,112,0,0,56,56,0,0,0,0,0,0,0,0
2895,207,PASIR RIS ST 21,12,1993,Y,N,N,Y,N,N,PRC,55,0,0,0,0,0,55,0,0,0,0,0,0
2896,207,PETIR RD,12,1987,Y,N,N,N,N,N,BP,110,0,0,0,110,0,0,0,0,0,0,0,0
2897,207,PUNGGOL PL,4,2012,N,N,N,N,Y,N,PG,0,0,0,0,0,0,0,0,0,0,0,0,0
2898,207,SERANGOON CTRL,12,1985,Y,Y,N,N,N,N,SGN,160,0,0,103,57,0,0,0,0,0,0,0,0
2899,207,TAMPINES ST 21,9,1981,Y,Y,N,N,N,N,TAP,96,0,0,64,32,0,0,0,0,0,0,0,0
2900,207,TOA PAYOH NTH,12,1973,Y,N,N,Y,N,N,TP,172,0,0,168,0,4,0,0,0,0,0,0,0
2901,207,WOODLEIGH LINK,2,2022,N,N,N,N,Y,N,TP,0,0,0,0,0,0,0,0,0,0,0,0,0
2902,207,YISHUN ST 21,4,1984,Y,N,N,N,N,N,YS,32,0,0,24,8,0,0,0,0,0,0,0,0
2903,207A,ANG MO KIO AVE 6,1,2004,N,N,N,N,N,Y,AMK,0,0,0,0,0,0,0,0,0,0,0,0,0
2904,207A,BOON LAY PL,1,2003,N,N,N,N,N,Y,JW,0,0,0,0,0,0,0,0,0,0,0,0,0
2905,207A,BISHAN ST 23,5,1989,N,N,N,N,Y,N,BH,0,0,0,0,0,0,0,0,0,0,0,0,0
2906,207A,COMPASSVALE LANE,16,2003,Y,N,N,N,N,N,SK,124,0,0,0,124,0,0,0,0,0,0,0,0
2907,207A,PUNGGOL PL,16,2012,Y,N,N,N,N,N,PG,81,0,0,0,55,26,0,0,0,0,0,0,0
2908,207A,PASIR RIS ST 21,1,1993,N,N,N,N,N,Y,PRC,0,0,0,0,0,0,0,0,0,0,0,0,0
2909,207A,WOODLEIGH LINK,14,2022,Y,N,N,N,N,N,TP,85,0,19,22,44,0,0,0,0,0,0,0,0
2910,207B,COMPASSVALE LANE,16,2003,Y,N,N,N,N,N,SK,93,0,0,0,30,63,0,0,0,0,0,0,0
2911,207B,PUNGGOL PL,16,2012,Y,N,N,N,N,N,PG,81,0,0,0,40,41,0,0,0,0,0,0,0
2912,207B,WOODLEIGH LINK,14,2022,Y,N,N,N,N,N,TP,62,0,16,13,33,0,0,0,0,0,0,0,0
2913,207C,COMPASSVALE LANE,16,2003,Y,N,N,N,N,N,SK,93,0,0,0,30,63,0,0,0,0,0,0,0
2914,207C,PUNGGOL PL,16,2012,Y,N,N,N,N,N,PG,87,0,0,57,30,0,0,0,0,0,0,0,0
